id;geopoint;country;landslide;fatalities;injuries;trigger;admin;sourcename;date;population;near
1;50.6808, -3.2238;United Kingdom;Rockfall;0;0;No_Apparent_Trigger;England;www.dailymail.co.uk;2013-08-28T09:00:00+02:00;11853;Sidmouth
2;50.7187, -1.8577;United Kingdom;Landslide;0;0;Continuous_Rain;England;BBC News Dorset;2014-02-21T09:00:00+01:00;163600;Bournemouth
3;42.2939, -83.7342;United States;Mudslide;0;0;Downpour;Michigan;;2011-05-25T09:00:00+02:00;113934;Ann Arbor
4;32.2322, 76.3037;India;Landslide;0;0;Downpour;Himachal Pradesh;www.himvani.com;2013-08-07T09:00:00+02:00;19540;Dharms?la
5;-7.3357, 108.7275;Indonesia;Landslide;0;0;Rain;Central Java;www.thejakartapost.com;2013-01-03T09:00:00+01:00;0;Pahonjean
6;33.9334, 105.2333;China;Landslide;18;0;Rain;Gansu Sheng;BBC News;2007-05-25T09:00:00+02:00;0;Heba
7;3.1575, 101.6896;Malaysia;Landslide;0;0;Downpour;Kuala Lumpur;;2010-05-19T09:00:00+02:00;1453975;Kuala Lumpur
8;28.5716, 109.4807;China;Landslide;6;0;Downpour;Hunan;;2010-07-13T09:00:00+02:00;0;Huayuan
9;9.5988, 76.5289;India;Landslide;1;0;Downpour;Kerala;;2011-08-07T09:00:00+02:00;59437;Kottayam
10;57.3121, -4.8501;Scottland;Landslide;0;0;unknown;Scotland;The Inverness Courier;2014-02-28T09:00:00+01:00;1169;Beauly
11;49.8785, -118.1103;Canada;Other;0;0;Snowfall_snowmelt;British Columbia;CBC;2015-02-18T09:00:00+01:00;1706;Nakusp
12;43.8071, -123.7113;United States;Landslide;0;0;Downpour;Oregon;;2011-01-16T09:00:00+01:00;4154;Reedsport
13;28.9986, 94.8885;India;Landslide;0;0;Downpour;Arunachal Pradesh;;2012-07-05T09:00:00+02:00;0;Damnyain
14;47.7463, -121.086;United States;Landslide;0;0;Rain;Washington;;2008-02-11T09:00:00+01:00;1965;Leavenworth
15;-4.5, 121.729;Indonesia;Landslide;5;0;Unknown;Sulawesi Tenggara;;2008-10-30T08:00:00+01:00;0;Kolaka
16;10.8275, -60.9416;Trinidad and Tobago;Landslide;0;0;Downpour;Sangre Grande;;2010-12-07T09:00:00+01:00;15968;Sangre Grande
17;27.2948, 87.9377;Nepal;Complex;0;0;Downpour;Eastern Region;;2010-08-24T09:00:00+02:00;1035;Naya B?z?r
18;27.2485, 86.6444;Nepal;Landslide;0;0;Downpour;Eastern Region;;2010-08-21T09:00:00+02:00;3250;Bhojpur
19;25.31, 94.4986;India;Landslide;0;0;Downpour;Manipur;;2010-07-29T09:00:00+02:00;15118;Phek
20;30.2835, 79.2498;India;Landslide;0;0;Rain;Uttarakhand;www.business-standard.com;2013-07-26T09:00:00+02:00;2000;P??palkoti
21;34.3006, 105.8268;China;Landslide;4;0;Rain;Gansu Sheng;news.xinhuanet.com;2013-07-26T09:00:00+02:00;0;Gaoqiao
22;-7.6667, 111.1167;Indonesia;Landslide;0;0;Rain;Central Java;Agence France-Presse, afp.google.com;2007-12-31T09:00:00+01:00;50059;Jatiroto
23;61.1082, 8.1055;Norway;Mudslide;0;0;Downpour;Oppland;;2011-06-10T09:00:00+02:00;0;Vang
24;35.273, 72.983;Pakistan;Landslide;0;0;Rain;Khyber Pakhtunkhwa;The Star.com.my;2007-08-13T09:00:00+02:00;0;Dasu
25;34.2145, 73.6936;Pakistan;Landslide;0;0;Downpour;Azad Kashmir;;2011-04-21T09:00:00+02:00;725000;Muzaffar?b?d
26;23.9, 99.0333;China;Landslide;0;0;Rain;Yunnan;China.org;2007-09-08T09:00:00+02:00;0;Dedang
27;0.4671, 35.5333;Kenya;Landslide;4;0;Rain;Baringo;;2012-12-29T09:00:00+01:00;24661;Kabarnet
28;12.349, -84.8195;Nicaragua;Landslide;0;0;Continuous_rain;Chontales;Correspondence with Wilfried Strauch;2014-06-23T09:00:00+02:00;5827;Santo Domingo
29;27.07, 87.73;Nepal;Landslide;1;0;Downpour;Eastern Region;;2010-08-24T09:00:00+02:00;17491;Il?m
30;35.4608, -118.7773;United States;Landslide;0;0;Rain;California;www.bakersfieldnow.com;2013-08-19T09:00:00+02:00;32684;Oildale
31;51.8912, 102.4276;Russia;Mudslide;1;0;Downpour;Respublika Buryatiya;The Siberian Times;2014-06-28T09:00:00+02:00;1800;Zhemchug
32;5.4992, 116.2805;Malaysia;Debris_Flow;0;0;Rain;Sabah;Daily Express;2015-01-16T09:00:00+01:00;77650;Keningau
33;49.8153, -102.3192;Canada;Landslide;0;0;Rain;Saskatchewan;CJME;2014-07-15T09:00:00+02:00;1177;Carlyle
34;-17.2353, -66.532;Bolivia;Landslide;14;0;Downpour;Cochabamba;UPI;2014-02-08T09:00:00+01:00;1074;Colchani
35;21.85, 108.45;China;Landslide;7;0;Rain;Guangxi Zhuangzu Zizhiqu;;2008-03-22T08:00:00+01:00;100996;Qinzhou
36;27.7838, 85.8369;Nepal;Landslide;0;0;Downpour;;;2010-09-02T09:00:00+02:00;1600;Kod?ri
37;19.0222, 72.8663;India;Landslide;5;0;Downpour;Maharashtra;indiatoday.intoday.in;2013-07-10T09:00:00+02:00;12691836;Mumbai
38;14.6918, -91.1168;Guatemala;Mudslide;14;0;Tropical_Cyclone;Solol??;Mayan Trip;2010-05-30T09:00:00+02:00;1422;Santa Cruz La Laguna
39;32.7883, -97.0317;United States;Landslide;0;0;Rain;Texas;Trinity River Authority - Grand Prarie Times;2007-07-24T09:00:00+02:00;175396;Grand Prairie
40;31.4898, 76.7043;India;Landslide;1;0;Downpour;Himachal Pradesh;www.risingkashmir.in;2013-06-11T09:00:00+02:00;6690;Ghum?rw??n
41;49.3418, -123.0023;Canada;Rock_Fall;0;0;Rain;British Columbia;Province;2014-12-07T09:00:00+01:00;48000;North Vancouver
42;34.1647, -117.8178;United States;Debris_Flow;0;0;Downpour;California;ABC 7;2014-12-12T09:00:00+01:00;50073;Glendora
43;26.8342, 88.2798;India;Landslide;0;0;Rain;Bengal;;2009-09-18T09:00:00+02:00;46427;K?rsiy?ng
44;9.8988, 76.3902;India;Landslide;0;0;Downpour;Kerala;;2010-09-24T09:00:00+02:00;17944;Arukutti
45;44.5415, 18.5879;Bosnia and Herzegovina;Mudslide;3;0;Downpour;Federation of Bosnia and Herzegovina;;2010-12-05T09:00:00+01:00;3918;Mramor
46;14.47, 121.05;Philippines;Landslide;2;0;Downpour;;;2008-07-02T09:00:00+02:00;2500;Sambayanihan People's Village
47;35.2436, -82.4872;United States;Landslide;0;0;Downpour;North Carolina;;2010-12-01T09:00:00+01:00;3114;Flat Rock
48;-5.8556, 142.9354;Papua New Guinea;Mudslide;25;0;Continuous_rain;Hela;Huffington Post;2012-01-24T09:00:00+01:00;8186;Tari
49;43.2456, -79.9367;Canada;Mudslide;0;0;Downpour;Ontario;;2010-07-16T09:00:00+02:00;33232;Ancaster
50;1.3801, 124.8238;Indonesia;Landslide;8;1;Downpour;North Sulawesi;AntaraNews.com;2014-01-14T09:00:00+01:00;0;Pineleng
51;21.5, 110.6877;China;Landslide;13;0;Tropical_Cyclone;Guangdong;;2010-09-21T09:00:00+02:00;0;Changqi
52;26.0137, 94.5163;India;Landslide;0;0;Continuous_rain;N?g?land;www.morungexpress.com;2013-08-04T09:00:00+02:00;29499;Zunheboto
53;-6.703, 106.7734;Indonesia;Landslide;5;0;Unknown;West Java;;2009-07-10T09:00:00+02:00;91845;Caringin
54;48.9057, 20.9434;Slovakia;Landslide;0;0;Downpour;Ko??ick??;;2010-08-17T09:00:00+02:00;8812;Krompachy
55;7.718, 126.0436;Philippines;Landslide;0;0;Downpour;Davao;Tempo;2014-03-19T08:00:00+01:00;3215;Babag
56;17.2961, 121.1877;Philippines;Landslide;0;0;Downpour;Cordillera Administrative Region;;2011-05-25T09:00:00+02:00;0;Tinglayan
57;34.9769, 132.2294;Japan;Mudslide;0;0;Downpour;Shimane;www.japantimes.co.jp;2013-08-24T09:00:00+02:00;24597;G?tsuch?
58;10.3472, 123.8852;Philippines;Landslide;0;0;Downpour;Central Visayas;;2008-05-24T09:00:00+02:00;798634;Cebu City
59;46.0155, 8.8353;Switzerland;Landslide;2;0;Rain;Ticino;abcNEWS;2014-11-05T09:00:00+01:00;882;Dumenza
60;12.901, 74.8888;India;Landslide;0;0;Downpour;Karnataka;;2010-06-25T09:00:00+02:00;417387;Mangalore
61;28.3048, 83.6011;Nepal;Landslide;0;0;Rain;Western Region;Republica;2014-07-18T09:00:00+02:00;23296;B?glung
62;23.7527, 92.694;India;Landslide;0;0;Downpour;Mizoram;;2010-09-16T09:00:00+02:00;265331;Aizawl
63;39.5808, -107.3401;United States;Mudslide;0;0;Downpour;Colorado;;2010-08-19T09:00:00+02:00;9614;Glenwood Springs
64;-7.2708, 107.581;Indonesia;Landslide;1;0;Downpour;West Java;;2010-02-15T09:00:00+01:00;0;Pasirangin Satu
65;16.4357, 120.5763;Philippines;Landslide;1;0;Rain;Cordillera Administrative Region;gmanews.tv;2007-08-08T09:00:00+02:00;41258;La Trinidad
66;9.85, 124.1436;Philippines;Landslide;5;0;Earthquake;Central Visayas;www.abs-cbnnews.com;2013-10-15T09:00:00+02:00;2191;Nueva Fuerza
67;3.1564, 101.7022;Malaysia;Landslide;0;0;Rain;Kuala Lumpur;www.nst.com.my;2013-05-07T09:00:00+02:00;1453975;Kuala Lumpur
68;34.453, -119.653;United States;Mudslide;0;0;Rain;California;;2008-12-16T09:00:00+01:00;8965;Montecito
69;41.0555, -124.1271;United States;Landslide;0;0;Rain;California;;2012-01-19T09:00:00+01:00;1205;Westhaven-Moonstone
70;37.0711, -122.0224;United States;Landslide;0;0;Downpour;California;;2011-03-21T08:00:00+01:00;11580;Scotts Valley
71;30.3069, 78.0169;India;Landslide;3;0;Rain;Uttarakhand;ibnlive.in.com;2013-06-17T09:00:00+02:00;522081;Dehradun
72;16.5141, 80.6055;India;Landslide;0;0;Downpour;Andhra Pradesh;;2010-09-17T09:00:00+02:00;874587;Vijayaw?da
73;8.646, -13.2279;Sierra Leone;Landslide;0;0;Downpour;Northern Province;;2008-09-11T09:00:00+02:00;5460;Tintafor
